User Language,"Please answer 13 questions about one of your classes this fall. 
1.  What college are you attending?","2.  What class you are taking?  
     (Please choose one. If you like, you can do the survey again for another class.)",3.  Is this class on campus (in person) or online?,4.  Instruction is at the right level for me in this class.,5.  The pace of this class is okay for me.,6.  How does the teacher of this class help you learn?       Choose the answers that are true for you.,7.  What other things does the teacher do to help you learn?,8.  The teacher helps me to feel welcome in this class.,9.  The teacher of this class speaks to all students with respect.,"13.  I would recommend this class to a friend,",10.  The books and materials for this class are at the right level for me.,11.  I have access to the books and materials I need for this class.,"12. My teacher has given me information about student support services, such as tutoring, the wellness center, academic advising, and career planning.","13.  I would recommend this class to a friend,","You selected ""no"" when asked if you would recommend this class to a friend.  Please tell us why not.",,,,,,,,,,,,
EN,Malcolm X College,Test Taking Skills,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",She goes over and beyond to make sure I understand my assignments.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me learn how to use Brightspace.,Deja tarea y la revisa al dÃ­a siguiente para corregir las q hemos fallado.@,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Computer Skills,online,yes,yes,"The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",Vamos practicando paso a paso cada una d las lecciones.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,"She helps me know more about idiom, which is new to me",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",she offers me personal help for Brightspace.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.",He is very nice and patient with us and also makes us to understand and educate our ears to the idiom .,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.",I want to have luggage for communication ,always,always,yes,no - too difficult,sometimes,no,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me learn how to take tests.,Reading.  Listening  ,sometimes,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",he give me handouts.,always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Truman College,Math,online,yes,yes,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,Answering questions ,always,always,yes,yes,sometimes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps me learn how to use Brightspace.,answering questions ,sometimes,always,yes,no - too easy,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,Math,online,no - too difficult,yes,"The teacher helps me understand the materials.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",She is a great Teacher!,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",The teacher teach me how to write different forms of essay.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Bocabulary ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,Practicar las pronunciaciones de palabras ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Commonlit.,sometimes,always,no,yes,yes,yes,no,Only zoom is mit enough to learn English.,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",Explica los temas las veces que sea necesario para tener una mejor comprension. ,always,always,yes,no - too easy,yes,no,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,"Nos explica muy bien hasta que ella estÃ¡ segura que lo entendimos completamente. Tenemos una muy buena teacher, como teacher y como persona.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,no - too fast,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","the teacher reviews my work in a very pleasant way. She lets me see my mistakes, so I can correct them, and many times she shows me how to do it.",always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",She is very helpfull.,always,always,yes,yes,sometimes,no,yes,,,,,,,,,,,,,
EN,Truman College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",How to used videos and different social networking to learn different subjects. Which I think is good for us. ,always,always,yes,yes,sometimes,not sure,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","the teacher explains the topics very well.
",always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.","El profesor me hace participar en las clases,practicar pronunciacion,nos hace leer,y corrige los errores  ademas pone a nuestro alcance medios electronicos para cualquier duda o preguntas (telefono,mensajes,correo).",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,She help  me to improve my English and speak without being shy ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Esplica bien para que entienda mejor ,sometimes,sometimes,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,The teacher helps me understand a lot of grammar ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",The teacher helps me understand all my criteria that I'm working on. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",The content of the class is well explained in everything related to it ,always,always,yes,yes,no,no,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,"She helps as with the pronuncition , and how work with brightspace and how can use the dicctionary on line.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,She recommended reading materials and other books that are appropriate for us to read,always,always,yes,yes,sometimes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,no - too easy,yes,The teacher helps me understand the materials.,She helps me learn ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,Math,online,no - too difficult,no - too fast,The teacher helps me understand the materials.,explica la tarea o duda ,always,always,yes,no - too difficult,yes,not sure,yes,,,,,,,,,,,,,
EN,Daley College,Computer Skills,online,yes,yes,The teacher helps me understand the materials.,The teacher  explan the times are necesarie until we can do the activitie.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Malcolm X College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.",.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",me ayuda a  aprender usar el porfolio,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to take tests.","If possible some time we need to discussed out of the Couse.  like any important day, event are case. ",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Wright College,Test Taking Skills,online,yes,yes,The teacher helps me understand the materials.,Willing to do one on ones,always,always,yes,no - too difficult,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,Math,online,yes,yes,The teacher helps me understand the materials.,"Nosgraba la clase y las pone en brigh space
No repite si es posible el problema",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Language Arts,online,no - too difficult,no - too slow,The teacher helps me understand the materials.,I honestly donâ€™t feel like Iâ€™m learning  nothing that has to do with test taking of grammar ,sometimes,sometimes,no,no - too difficult,sometimes,yes,no,Because I havenâ€™t learned what I need to pass my test ,,,,,,,,,,,,
EN,Wright College,Language Arts,online,yes,yes,The teacher helps to make the books and materials interesting.,"Es una buena clase, aprendes a socializar con la gente que no conoces ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.",he explains very well ,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
